barcode,name,description,quantity,amount,units,price,quantity,sale,purchased_at,store,
0631899213891,Farberware 6 Qt Covered Jumbo Cooker,Farberware,NULL,NULL,NULL,24.97,1,0,11/17/2012 0:00,Walmart,
078742228167,"Great Value Low Fat Fruit & Grain Bars Straw",Great Value,8,10.4,ounces,2,1,0,11/17/2012 0:00,Walmart,
015300440326,Pasta Roni Shells & Wht Cheddar,Pasta Roni,NULL,6.2,ounces,1,6,0,11/17/2012 0:00,Walmart,
015300440326,Pasta Roni Shells & Wht Cheddar,Pasta Roni,NULL,6.2,ounces,1,10,0,1/14/2013 0:00,Walmart,
015300440326,Pasta Roni Shells & Wht Cheddar,Pasta Roni,NULL,6.2,ounces,1.02,1,0,2/23/2013 0:00,Walmart,
015300440326,Pasta Roni Shells & Wht Cheddar,Pasta Roni,NULL,6.2,ounces,1.02,1,0,2/23/2013 0:00,Walmart,
051000010216,Campbell's Condensed Vegetable Soup 10.5 oz,Campbell's,NULL,10.5,ounces,1.25,4,1,11/17/2012 0:00,Walmart,
0078742229010,Fat Free Cream of Chicken Soup,Great Value,1,10.5,ounces,1.25,4,1,11/17/2012 0:00,Walmart,
042400067634,Frosted Mini-Spooners (Malt-o-meal),Malt-O-Meal,NULL,68,ounces,8.68,2,0,11/17/2012 0:00,Walmart,
042400067634,Frosted Mini-Spooners (Malt-o-meal),Malt-O-Meal,NULL,68,ounces,8.68,3,0,2/2/2013 0:00,Walmart,
041646123531,Cheese Tortellini,Celentano,NULL,19,ounces,2.97,1,0,11/17/2012 0:00,Walmart,
0834183007132,Alexia - Julienne Fries - With Chipotle Seaso,Alexia,NULL,20,ounces,2.98,1,0,11/17/2012 0:00,Walmart,
0834183007132,Alexia - Julienne Fries - With Chipotle Seaso,Alexia,NULL,20,ounces,1.38,4,0,9/19/2012 0:00,Walmart,
681131699372,Equate Easy-Open Ibuprofen,Equate,100,0,ounces,2.32,1,0,11/17/2012 0:00,Walmart,
0013120004551,OREIDA ZESTY TWIRLS,Oreida,NULL,28,ounces,2.96,1,0,11/17/2012 0:00,Walmart,
NULL,Zuchinni,NULL,0,NULL,NULL,0.48,2,0,11/17/2012 0:00,Walmart,
NULL,Zuchinni,NULL,0,NULL,NULL,1.99,2,0,2/11/2013 0:00,Walmart,
011110785961,Home Sense Toilet Paper (12 Double Rolls),Home Sense,12,NULL,ounces,NULL,1,1,11/25/2012 0:00,Maceys,
071430010662,Dole Classic Coleslaw,Dole,NULL,14,ounces,1.79,2,0,11/24/2012 0:00,Maceys,
042000610452,"Dixie 8.5\"" Paper Plates 45 Count",NULL,45,NULL,ounces,2.29,1,0,11/24/2012 0:00,Walmart,
015400002356,Western Family Fat Free Sour Cream 16 oz,Western Family,NULL,16,ounces,0.99,1,0,11/25/2012 0:00,Maceys,
015400002356,Western Family Fat Free Sour Cream 16 oz,Western Family,NULL,16,ounces,0.99,1,0,12/15/2012 0:00,Walmart,
015400002356,Western Family Fat Free Sour Cream 16 oz,Western Family,NULL,16,ounces,1.69,1,0,1/1/2013 0:00,Walmart,
011110866035,Semi-sweet Chocolate Chips,Kroger,NULL,12,ounces,1.59,2,0,11/25/2012 0:00,Smiths,
011110802873,Storage bags Gallon,Kroger,40,NULL,ounces,3.29,1,0,11/25/2012 0:00,Smiths,
02985303,Light Margarine,Blue Bonnet,NULL,16,ounces,0.95,1,0,10/31/2012 0:00,Maceys,
802404002259,Plastic Hangars,Mainstays,10,NULL,ounces,1.17,NULL,0,11/17/2012 0:00,Walmart,
021000028030,Macaroni and Cheese,Kraft,NULL,5.5,ounces,1.38,4,0,9/19/2012 0:00,Walmart,
015300440517,Angel Hair Pasta w Herbs,Pasta Roni,NULL,4.8,ounces,0.87,1,0,10/19/2012 0:00,Walmart,
015400014168,Whole Fancy Green Beans,Western Family,NULL,14.5,ounces,0.85,2,0,11/29/2012 0:00,BYU Creamery on 9th,
015400014168,Whole Fancy Green Beans,Western Family,NULL,14.5,ounces,0.85,2,0,11/29/2012 0:00,BYU Creamery on 9th,
041449301082,Krusteaz Blueberry Muffins,Krusteaz,NULL,17.5,ounces,2.29,2,0,12/1/2012 0:00,Smiths,
011110886521,Granulated Sugar,Kroger,NULL,4,pounds,2.49,1,0,12/1/2012 0:00,Smiths,
011110608482,Large Eggs,Smiths,12,24,ounces,1.69,1,0,12/1/2012 0:00,Smiths,
041548752549,Carmel Praline Crunch Ice Cream,Dreyers,NULL,1.65,liters,3,1,0,12/1/2012 0:00,Smiths,
036500099800,Copy and Print Paper,Georgia-Pacific,500,20,pounds,3.72,1,0,12/5/2012 0:00,Walmart,
020709202536,Peachie O\'s,Trolli,NULL,7.25,ounces,1.62,1,0,12/5/2012 0:00,Walmart,
012546672559,Trident Tropical Twist Gum,Trident,54,NULL,ounces,2.38,1,0,12/5/2012 0:00,Walmart,
073558614586,Apron,Mainstays,1,NULL,ounces,6.88,1,0,12/5/2012 0:00,Walmart,
308697402245,Baby Oil (Aloe Vera & Vitamin E),Equate,1,20,ounces,2.47,1,0,12/5/2012 0:00,Walmart,
026229781568,College Ruled Notebook Filler Paper,Norcom,150,NULL,ounces,0.82,2,0,12/5/2012 0:00,Walmart,
052000322569,Blueberry Gatorade,Gatorade,NULL,32,ounces,1,2,0,12/5/2012 0:00,Walmart,
052000322569,Blueberry Gatorade,Gatorade,NULL,32,ounces,0.99,3,0,12/15/2012 0:00,Maceys,
078742372327,Fat Free Sour Cream,Great Value,NULL,16,ounces,1.34,1,0,12/5/2012 0:00,Walmart,
034747000320,Creamery Fat Free Milk,BYU Creamery,NULL,1,gallons,2,2,0,12/8/2012 0:00,BYU Creamery on 9th,
884912129512,Cocoa Pebbles,Post,NULL,11,ounces,3.49,1,0,12/8/2012 0:00,BYU Creamery on 9th,
028400002110,Santitas Yellow Corn Tortilla Chips,Santitas,NULL,11,ounces,1.88,2,0,12/11/2012 0:00,Smiths,
028400002110,Santitas Yellow Corn Tortilla Chips,Santitas,NULL,11,ounces,1.88,1,0,1/14/2013 0:00,Walmart,
026800004451,Wide Egg Noodles,American Beauty,NULL,12,ounces,1.79,1,0,12/11/2012 0:00,Walmart,
201666005518,Ground Beef 85/15,Smiths,NULL,1.58,pounds,5.51,1,0,12/11/2012 0:00,Walmart,
011110837059,Cream of Chicken Soup,Kroger,NULL,10.5,ounces,0.69,4,0,12/11/2012 0:00,Walmart,
NULL,Costco Muffins,NULL,12,NULL,ounces,6.99,1,0,12/15/2012 0:00,Costco,
041565188345,Pace Picante Salsa,Pace,2,76,ounces,5.39,1,0,12/15/2012 0:00,Walmart,
716221050846,Dried Mangoes,Philippine,NULL,30,ounces,11.99,4,0,12/15/2012 0:00,Walmart,
051000167750,Chunky Chicken Soup,Campbell\'s,NULL,18.6,ounces,1.99,1,0,12/15/2012 0:00,Maceys,
079400835505,Body Wash (Cucumber Melon),Suave,NULL,12,ounces,1.89,1,0,12/15/2012 0:00,Walmart,
015400108065,Swiss Cheese Slices,Western Family,NULL,6,ounces,1.79,1,0,12/15/2012 0:00,Walmart,
044700030509,Turkey Slices ,Oscar Meyer,NULL,9,ounces,3.49,1,0,12/15/2012 0:00,Walmart,
NULL,Chicken Breast (boneless skinless),Maceys,NULL,3.22,ounces,8.02,1,0,12/15/2012 0:00,Maceys,
044300121690,Chow Mein Noodles,La Choy,NULL,12,ounces,2.39,1,0,12/15/2012 0:00,Walmart,
NULL,Green Pepper ,NULL,1,NULL,ounces,0.59,NULL,0,12/15/2012 0:00,Walmart,
NULL,Green Pepper ,NULL,1,NULL,ounces,0.59,1,0,2/21/2013 0:00,Walmart,
039217014227,Double Fiber & Honey Wheat Bread,Great Grains,NULL,24,ounces,1.5,2,0,12/15/2012 0:00,Walmart,
039217014227,Double Fiber & Honey Wheat Bread,Great Grains,NULL,24,ounces,1.88,1,0,2/2/2013 0:00,Walmart,
054358018767,Anna\'s Chocolate Thin Mints,Lotus Bakeries,NULL,5.25,ounces,1.99,1,0,12/15/2012 0:00,Walmart,
NULL,Green Onions Bunch,NULL,NULL,NULL,ounces,0.65,1,0,12/15/2012 0:00,Walmart,
NULL,Green Onions Bunch,NULL,NULL,NULL,ounces,0.59,1,0,1/26/2013 0:00,Walmart,
NULL,Spinach Bunch,NULL,NULL,NULL,ounces,1.39,NULL,0,12/15/2012 0:00,Walmart,
025000055737,Simply Apple Juice,Simply,NULL,59,ounces,3.59,1,0,12/15/2012 0:00,Target,
NULL,AW Root Beer,A&W,NULL,2,liters,1.11,1,0,12/8/2012 0:00,Walmart,
096619504602,Weight loss Shake,Kirkland,24,264,ounces,16.49,2,0,12/1/2012 0:00,Costco,
096619504602,Weight loss Shake,Kirkland,24,264,ounces,16.49,2,0,2/2/2013 0:00,Costco,
011110422873,Skim Milk,Smiths,NULL,1,gallons,2.69,1,0,12/17/2012 0:00,Smiths,
015700161517,Viva 1% milk,NULL,NULL,1,gallons,3.29,NULL,0,12/31/2012 0:00,Smiths,
015400200882,1% Milk,ShurSavings,NULL,1,gallons,2.75,1,0,1/1/2013 0:00,Maceys,
015400005258,Frozen Broccoli & Cauliflower Blend,Western Family,NULL,16,ounces,1.39,1,0,1/1/2013 0:00,Maceys,
027331000363,Large Tortillas (10 Count),La Banderita,10,25,ounces,2.59,1,0,1/1/2013 0:00,Walmart,
015400036047,Onion Soup Mix,Western Family,NULL,2,ounces,1.19,2,0,1/1/2013 0:00,Walmart,
071430031872,Iceberg lettuce,Dole,1,NULL,ounces,0.89,1,0,1/1/2013 0:00,Maceys,
015400220125,Medium Eggs AA Dozen,Western Family,12,NULL,ounces,1.25,1,0,1/1/2013 0:00,Walmart,
015400018968,Chicken Noodle Soup,Western Family,NULL,10.5,ounces,0.59,1,0,1/1/2013 0:00,Walmart,
015400018999,Cream of Chicken Soup,Western Family,NULL,10.5,ounces,0.79,1,0,1/1/2013 0:00,Walmart,
NULL,Gummi Peach rings,NULL,NULL,0.34,pounds,1.32,NULL,0,1/1/2013 0:00,Walmart,
039217053561,Small Tortillas,Maya\'s ,12,14,ounces,1.49,1,0,1/1/2013 0:00,Walmart,
011110420336,Skim Milk,Smiths,NULL,1,gallons,2.99,2,0,1/5/2013 0:00,Smiths,
011110420336,Skim Milk,Smiths,NULL,1,gallons,2.79,1,0,2/11/2013 0:00,Smiths,
011110837066,Cream of Mushroom Soup,Kroger,NULL,10.5,ounces,0.99,2,0,1/5/2013 0:00,Smiths,
011110669124,Creamy Ranch Dressing,Kroger,NULL,16,ounces,1.5,2,0,1/5/2013 0:00,Walmart,
027271112287,Briannas Poppy seed dressing,Brianna\'s,NULL,12,ounces,3.29,1,0,1/5/2013 0:00,Smiths,
011110462701,Sour Cream (Fat Free),Kroger,NULL,16,ounces,1.69,1,0,1/14/2013 0:00,Smiths,
011110462701,Sour Cream (Fat Free),Kroger,NULL,16,ounces,1.25,1,0,1/26/2013 0:00,Walmart,
011110462701,Sour Cream (Fat Free),Kroger,NULL,16,ounces,1.25,1,0,1/26/2013 0:00,Walmart,
076808501087,Farfalle pasta,Barilla,NULL,16,ounces,1,2,0,1/14/2013 0:00,Walmart,
076808502947,Rigatoni Pasta,Barilla,NULL,16,ounces,1,1,0,1/14/2013 0:00,Walmart,
076808280739,Penne Pasta,Barilla,NULL,16,ounces,1,1,0,1/14/2013 0:00,Walmart,
072614010974,Tropical Breeze Laundry Detergent,Sun,NULL,62.5,ounces,1.25,1,0,1/14/2013 0:00,Walmart,
011110220066,Whole Wheat Bread,Country Over,NULL,24,ounces,1.67,1,0,1/14/2013 0:00,Walmart,
011110220035,12 Grain Bread,Country Over,NULL,24,ounces,1.67,1,0,1/14/2013 0:00,Walmart,
011110888310,Egg Noodles,Kroger,NULL,16,ounces,1.68,2,0,1/14/2013 0:00,Walmart,
074958008265,Muenster Sliced Cheese,Cache Valley,NULL,6,ounces,2.69,1,0,1/26/2013 0:00,Smiths,
011110583819,Finely Shredded Parmesan Cheese,Kroger,NULL,6,ounces,2.99,1,0,1/26/2013 0:00,Walmart,
011110845023,Lite Raspberry lemonade drink mix,Kroger,10,0.91,ounces,2.29,1,0,1/26/2013 0:00,Walmart,
011110420336,Skim Milk (Smiths),Smiths,NULL,1,gallons,2.79,2,0,1/26/2013 0:00,Walmart,
011110897895,Chopped Broccoli,Kroger,NULL,12,ounces,1,1,0,1/26/2013 0:00,Walmart,
011110977854,Turkey Breast,Kroger,NULL,10,ounces,2.75,1,0,1/26/2013 0:00,Walmart,
076808535594,Mini Wheels Pasta,Barilla,NULL,16,ounces,1,1,0,1/26/2013 0:00,Walmart,
011110872180,Diced pimentos,Kroger,NULL,4,ounces,1.39,1,0,1/26/2013 0:00,Walmart,
011110459022,Vanilla Lowfat Yogurt,Kroger,NULL,32,ounces,2.59,1,0,1/26/2013 0:00,Walmart,
011110850676,Vermicelli Pasta,Kroger,NULL,16,ounces,1.07,1,0,1/26/2013 0:00,Walmart,
011110828767,Yellow Cling Peaches,Kroger,NULL,9.6,ounces,1,1,0,1/26/2013 0:00,Walmart,
015300440821,Olive Oil & Italian Herb Pasta Roni,Pasta Roni,NULL,4.6,ounces,1,3,0,1/26/2013 0:00,Walmart,
015300440821,Olive Oil & Italian Herb Pasta Roni,Pasta Roni,NULL,4.6,ounces,1.02,2,0,2/23/2013 0:00,Walmart,
NULL,Crimin Mushrooms,NULL,NULL,0.2,pounds,0.8,NULL,0,1/26/2013 0:00,Walmart,
078742100661,Dijon Mustard,Great Value,NULL,12,ounces,1.5,1,0,2/2/2013 0:00,Walmart,
06096969,Minced Garlic,Spice World,NULL,4.5,ounces,1.48,1,0,2/2/2013 0:00,Walmart,
048500017753,No Pulp Orange Juice,Tropicana,NULL,12,ounces,1.25,1,0,2/2/2013 0:00,Walmart,
078742370033,Creamy Peanut Butter,Great Value,NULL,40,ounces,5.47,1,0,2/2/2013 0:00,Walmart,
078742351896,Fat Free Milk,Great Value,NULL,1,gallons,2.42,2,0,2/2/2013 0:00,Walmart,
881006001037,Blackberries,Nature\'s Partner,NULL,12,ounces,2.98,1,0,2/2/2013 0:00,Walmart,
039217119168,Multigrain with Flax Seeds Bread,Great Grains,NULL,NULL,ounces,1.88,1,0,2/2/2013 0:00,Walmart,
804641800295,Blueberries,Fruit Stand,NULL,24,ounces,5.99,1,0,2/2/2013 0:00,Walmart,
037102675003,Mushrooms,Monterey,NULL,8,ounces,1.68,1,0,2/3/2013 0:00,Walmart,
010900013314,Parchment Paper,Reynolds,NULL,30,liters,3.89,1,0,2/11/2013 0:00,Walmart,
017000029863,Antibacterial Foaming Hand Wash,4.97,NULL,32,ounces,4.97,1,0,2/11/2013 0:00,Walmart,
041129411407,Creamy Alfredo Sauce,Classico,NULL,15,ounces,1.59,1,0,2/11/2013 0:00,Walmart,
011110438300,Heavy Whipping Cream,Kroger,NULL,437,milliliter,2.29,1,0,2/11/2013 0:00,Walmart,
070022024209,Garlic Butter Rolls,Rhodes,NULL,10,ounces,2.79,1,0,2/11/2013 0:00,Walmart,
011110916204,Baby Carrots,Kroger,NULL,16,ounces,0.74,1,0,2/11/2013 0:00,Walmart,
011110874009,Cheese Tortellini,Kroger,NULL,19,ounces,3.99,1,0,2/11/2013 0:00,Walmart,
05209213,Ground Ginger,Spice Trend,NULL,0.6,ounces,1.79,1,0,2/11/2013 0:00,Walmart,
011110815484,Peeled Crushed Tomatoes,Kroger,NULL,28,ounces,1,1,0,2/11/2013 0:00,Walmart,
022200968010,Stainguard Antiperspirant Deodorant,Speed Stick,NULL,2.7,ounces,3.17,1,0,2/11/2013 0:00,Walmart,
011110898579,Vegetable Oil Spread,Kroger,NULL,16,ounces,0.84,1,0,2/11/2013 0:00,Walmart,
NULL,Yellow Onion,NULL,NULL,0.56,pounds,0.5,1,0,2/11/2013 0:00,Walmart,
NULL,Yellow Onion,NULL,NULL,0.56,pounds,1.09,1,0,2/21/2013 0:00,Walmart,
033383200279,Strawberries,Expo Fresh,NULL,16,ounces,2.99,1,0,2/23/2013 0:00,Target,
030000064412,Oatmeal Squares,Quaker,NULL,14.5,ounces,2.79,1,0,2/23/2013 0:00,Walmart,
071249199213,Eye Shadow,Infallible,NULL,0.12,ounces,6.99,1,0,2/23/2013 0:00,Walmart,
670171112330,White Cheddar Popcorn Seasoning,Kernel Season\'s,NULL,2.85,ounces,1.99,1,0,2/23/2013 0:00,Walmart,
085239284087,Skim Milk,Market Pantry,NULL,1,gallons,2.49,1,0,2/23/2013 0:00,Walmart,
036632002105,Vanilla Yorgurt (Lowfat),Dannon,NULL,32,ounces,2.49,1,0,2/23/2013 0:00,Walmart,
085239105532,Thick & Creamy Fat Free Peach Yogurt,Archer Farms,NULL,6,ounces,0.54,1,0,2/23/2013 0:00,Walmart,
689544080206,Greek Strained Yogurt 2%,Fage,NULL,7,ounces,1.29,1,0,2/23/2013 0:00,Walmart,
085239382820,Farfalle pasta,Market Pantry,NULL,12,ounces,1.02,1,0,2/23/2013 0:00,Walmart,
085239710807,Chickadees Cheddar Baked Snack Crackers,Market Pantry,NULL,6.6,ounces,1.39,1,0,2/23/2013 0:00,Walmart,
015300440494,Parmesan Cheese Flavor Pasta Roni,Pasta Roni,NULL,5.1,ounces,1.02,2,0,2/23/2013 0:00,Walmart,
041129274637,Four Cheese Alfredo,Classico,NULL,15,ounces,3.18,1,0,2/21/2013 0:00,Smiths,
021000642762,Fat Free Catalina Dressing,Kraft,NULL,16,ounces,2.99,2,0,2/21/2013 0:00,Walmart,
011110914538,Yellow popcorn ,Kroger,NULL,64,ounces,3.59,1,0,2/23/2013 0:00,Smiths,
041789002120,Beef Flavor Ramen,Maruchan,NULL,3,ounces,0.17,4,0,2/23/2013 0:00,Smiths,
NULL,Red Pepper,NULL,NULL,NULL,ounces,1,1,0,2/21/2013 0:00,Walmart,
,